TCID	Gene symbol	GenBank	Fold change	p-value	Gene name
10600341	Emd	NM_007927	1.96	1.34E-02	emerin
10560709	Pvr	NM_027514	1.96	3.42E-02	poliovirus receptor
10391301	Stat3	NM_213659	1.95	5.88E-03	signal transducer and activator of transcription 3
10448202	Tpm4	NM_001001491	1.95	2.68E-02	tropomyosin 4
10346878	NA	ENSMUST00000114132	1.94	3.78E-03	NA
10364950	Gadd45b	NM_008655	1.91	2.13E-02	growth arrest and DNA-damage-inducible 45 beta
10530615	Ociad2	NM_026950	1.90	1.43E-02	OCIA domain containing 2
10469575	Gm13363	NR_002688	1.90	2.32E-02	protein tyrosine phosphatase 4a1-like
10593449	Layn	NM_001033534	1.87	1.56E-02	layilin
10537062	Mest	NM_008590	1.86	7.26E-03	mesoderm specific transcript
10542596	Slco1c1	NM_021471	1.86	7.37E-04	solute carrier organic anion transporter family, member 1c1
10458555	Spry4	NM_011898	1.84	3.93E-02	sprouty homolog 4 (Drosophila)
10554166	Akap13	NM_029332	1.83	4.80E-02	A kinase (PRKA) anchor protein 13
10352234	Itpkb	NM_001081175	1.82	1.03E-02	inositol 1,4,5-trisphosphate 3-kinase B
10548563	Ptp4a1	NM_011200	1.81	1.62E-02	protein tyrosine phosphatase 4a1
10561673	Spred3	NM_182927	1.79	1.61E-02	sprouty-related, EVH1 domain containing 3
10467489	Ptp4a1	NM_011200	1.78	2.40E-02	protein tyrosine phosphatase 4a1
10568436	Fgfr2	NM_010207	1.77	2.26E-02	fibroblast growth factor receptor 2
10411527	Cartpt	NM_013732	1.77	1.36E-02	CART prepropeptide
10548030	Cd9	NM_007657	1.76	1.22E-02	CD9 antigen
10359908	Rgs4	NM_009062	1.76	1.03E-02	regulator of G-protein signaling 4
10595402	Fam46a	NM_001160378	1.76	3.53E-02	family with sequence similarity 46, member A
10365971	Btg1	NM_007569	1.75	1.57E-02	B-cell translocation gene 1, anti-proliferative
10474399	Bdnf	NM_001048139	1.75	3.42E-02	brain derived neurotrophic factor
10366043	Dusp6	NM_026268	1.75	4.52E-03	dual specificity phosphatase 6
10531610	Rasgef1b	NM_145839	1.75	4.22E-02	RasGEF domain family, member 1B
10355403	Fn1	NM_010233	1.73	1.39E-02	fibronectin 1
10493548	Pmvk	NM_026784	1.71	2.59E-03	phosphomevalonate kinase
10510129	Dhrs3	NM_011303	1.71	5.18E-03	dehydrogenase/reductase (SDR family) member 3
10457205	Crem	NM_001110856	1.70	1.43E-02	cAMP responsive element modulator
10580183	Ier2	NM_010499	1.70	2.49E-02	immediate early response 2
10550332	Slc1a5	NM_009201	1.70	3.91E-02	solute carrier family 1 (neutral amino acid transporter), member 5
10477986	Nnat	NM_010923	1.70	1.31E-02	neuronatin
10600836	Msn	NM_010833	1.70	5.86E-03	moesin
10584977	Sik3	NM_027498	1.69	3.13E-02	SIK family kinase 3
10513739	Tnc	NM_011607	1.69	2.26E-02	tenascin C
10517005	Gpr3	NM_008154	1.68	2.75E-02	G-protein coupled receptor 3
10527332	Nptx2	NM_016789	1.68	4.74E-02	neuronal pentraxin 2
10495035	Slc16a1	NM_009196	1.68	1.57E-02	solute carrier family 16 (monocarboxylic acid transporters), member 1
10498653	1110032A04Rik	NM_133675	1.66	2.95E-02	RIKEN cDNA 1110032A04 gene
10520862	Fosl2	NM_008037	1.66	4.22E-02	fos-like antigen 2
10437160	Ets2	NM_011809	1.65	3.82E-02	E26 avian leukemia oncogene 2, 3' domain
10449712	Cbs	NM_144855	1.64	8.74E-03	cystathionine beta-synthase
10437687	Litaf	NM_019980	1.63	3.96E-02	LPS-induced TN factor
10557992	Bag3	NM_013863	1.62	2.03E-02	BCL2-associated athanogene 3
10426650	Tuba1c	NM_009448	1.60	2.26E-02	tubulin, alpha 1C
10454039	Impact	NM_008378	1.60	4.80E-02	imprinted and ancient
10407124	NA	ENSMUST00000099179	1.60	1.08E-02	NA
10411274	Sv2c	NM_029210	1.60	1.77E-02	synaptic vesicle glycoprotein 2c
10407126	Plk2	NM_152804	1.58	2.17E-02	polo-like kinase 2 (Drosophila)
10351825	Tagln2	NM_178598	1.58	1.39E-02	transgelin 2
10498284	Wwtr1	NM_133784	1.58	4.22E-02	WW domain containing transcription regulator 1
10422227	Spry2	NM_011897	1.56	2.36E-02	sprouty homolog 2 (Drosophila)
10532956	Cabp1	NM_013879	1.55	1.43E-02	calcium binding protein 1
10416175	Nefl	NM_010910	1.55	1.97E-02	neurofilament, light polypeptide
10497222	Zfp704	NM_133218	1.55	1.92E-02	zinc finger protein 704
10364702	Midn	NM_021565	1.54	4.22E-02	midnolin
10582275	Slc7a5	NM_011404	1.54	2.62E-02	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
10408629	1300014I06Rik	NM_025831	1.54	3.84E-02	RIKEN cDNA 1300014I06 gene
10436402	Cldnd1	NM_171826	1.54	2.41E-02	claudin domain containing 1
10454015	Ttc39c	NM_028341	1.54	3.74E-02	tetratricopeptide repeat domain 39C
10420097	Tinf2	NM_145705	1.54	5.18E-03	Terf1 (TRF1)-interacting nuclear factor 2
10508115	Stk40	NM_001145827	1.53	1.92E-02	serine/threonine kinase 40
10492136	Dclk1	NM_019978	1.53	4.15E-02	doublecortin-like kinase 1
10378334	Tax1bp3	NM_029564	1.52	3.53E-02	Tax1 (human T-cell leukemia virus type I) binding protein 3
10446763	Lbh	NM_029999	1.51	1.68E-02	limb-bud and heart
10595404	Fam46a	NM_001160378	1.51	3.53E-02	family with sequence similarity 46, member A
10596051	Tmem22	NM_001101483	1.51	4.69E-02	transmembrane protein 22
10434516	Fam131a	BC092532	1.51	4.66E-02	family with sequence similarity 131, member A
10601854	Wbp5	NM_011712	1.51	3.74E-02	WW domain binding protein 5
10349480	R3hdm1	NM_181750	1.50	1.31E-02	R3H domain 1 (binds single-stranded nucleic acids)
10456836	St8sia5	NM_153124	1.50	3.42E-02	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5
10458547	Gnpda1	NM_011937	1.50	2.62E-02	glucosamine-6-phosphate deaminase 1
10586491	Dapk2	NM_010019	1.50	5.16E-03	death-associated protein kinase 2
10401238	Zfp36l1	NM_007564	1.50	1.03E-02	zinc finger protein 36, C3H type-like 1
10414179	NA	GENSCAN00000005282	1.49	5.18E-03	NA
10546510	Lrig1	NM_008377	1.49	1.92E-02	leucine-rich repeats and immunoglobulin-like domains 1
10389719	Scpep1	NM_029023	1.48	3.13E-02	serine carboxypeptidase 1
10547641	Slc2a3	NM_011401	1.48	3.00E-02	solute carrier family 2 (facilitated glucose transporter), member 3
10576971	Irs2	NM_001081212	1.48	1.45E-02	insulin receptor substrate 2
10527538	Rasl11a	NM_026864	1.48	3.93E-02	RAS-like, family 11, member A
10401673	Tgfb3	NM_009368	1.48	4.25E-02	transforming growth factor, beta 3
10607346	Tspyl2	NM_029836	1.48	2.76E-02	TSPY-like 2
10354418	Obfc2a	NM_028696	1.48	1.56E-02	oligonucleotide/oligosaccharide-binding fold containing 2A
10411235	Iqgap2	NM_027711	1.48	4.56E-02	IQ motif containing GTPase activating protein 2
10492448	Ptx3	NM_008987	1.47	4.21E-02	pentraxin related gene
10516765	Serinc2	NM_172702	1.47	4.63E-02	serine incorporator 2
10469672	Gad2	NM_008078	1.47	3.07E-02	glutamic acid decarboxylase 2
10449111	Wdr90	BC043315	1.47	1.31E-02	WD repeat domain 90
10602307	Ott	NM_011022	1.47	4.97E-02	ovary testis transcribed
10350697	Nmnat2	NM_175460	1.46	3.66E-02	nicotinamide nucleotide adenylyltransferase 2
10580282	Junb	NM_008416	1.46	1.77E-02	Jun-B oncogene
10491083	Nceh1	NM_178772	1.45	1.01E-02	arylacetamide deacetylase-like 1
10415052	Mmp14	NM_008608	1.45	2.36E-02	matrix metallopeptidase 14 (membrane-inserted)
10359161	Soat1	NM_009230	1.45	4.57E-02	sterol O-acyltransferase 1
10392642	Abca5	NM_147219	1.45	3.13E-02	ATP-binding cassette, sub-family A (ABC1), member 5
10504450	Glipr2	NM_027450	1.44	1.57E-02	GLI pathogenesis-related 2
10436372	Dcbld2	NM_028523	1.43	2.49E-02	discoidin, CUB and LCCL domain containing 2
10368175	Pde7b	NM_013875	1.43	1.43E-02	phosphodiesterase 7B
10537184	Cald1	NM_145575	1.43	1.39E-02	caldesmon 1
10557793	Stx4a	NM_009294	1.43	1.62E-02	syntaxin 4A (placental)
10378568	NA	mmu-mir-22	1.43	3.93E-02	NA
10481634	Slc25a25	NM_146118	1.43	3.12E-02	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25
10380381	Tob1	NM_009427	1.42	4.15E-02	transducer of ErbB-2.1
10494390	Hist2h2aa1	NM_013549	1.42	2.59E-02	histone cluster 2, H2aa1
10450226	Ppt2	NM_019441	1.42	4.01E-02	palmitoyl-protein thioesterase 2
10542575	Pde3a	NM_018779	1.42	1.22E-02	phosphodiesterase 3A, cGMP inhibited
10375065	Sh3pxd2b	NM_177364	1.42	1.74E-02	SH3 and PX domains 2B
10453272	Zfp36l2	NM_001001806	1.42	3.00E-02	zinc finger protein 36, C3H type-like 2
10484283	Pde1a	NM_016744	1.41	4.50E-02	phosphodiesterase 1A, calmodulin-dependent
10477644	Trp53inp2	NM_178111	1.41	3.91E-02	transformation related protein 53 inducible nuclear protein 2
10405729	Selk	NM_019979	1.41	2.54E-02	selenoprotein K
10606868	Bex1	NM_009052	1.40	1.92E-02	brain expressed gene 1
10468980	Fam107b	BC021353	1.40	2.54E-02	family with sequence similarity 107, member B
10352448	Dusp10	NM_022019	1.40	4.15E-02	dual specificity phosphatase 10
10465772	Slc3a2	NM_008577	1.40	4.80E-02	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2
10501104	Slc6a17	NM_172271	1.40	1.77E-02	solute carrier family 6 (neurotransmitter transporter), member 17
10467319	Rbp4	NM_001159487	1.40	1.68E-02	retinol binding protein 4, plasma
10497417	Crh	NM_205769	1.39	4.92E-02	corticotropin releasing hormone
10439695	Tagln3	NM_019754	1.39	1.39E-02	transgelin 3
10485624	Prrg4	NM_178695	1.38	2.36E-02	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
10463211	Pi4k2a	NM_145501	1.38	4.74E-02	phosphatidylinositol 4-kinase type 2 alpha
10537146	Akr1b8	NM_008012	1.37	1.20E-02	aldo-keto reductase family 1, member B8
10365559	Igf1	NM_010512	1.37	1.79E-02	insulin-like growth factor 1
10575844	Cdh13	NM_019707	1.37	2.62E-02	cadherin 13
10571312	Dusp4	NM_176933	1.37	3.97E-02	dual specificity phosphatase 4
10601192	Taf1	NM_001081008	1.37	1.28E-02	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor
10412298	Itga1	NM_001033228	1.37	2.04E-02	integrin alpha 1
10438527	Camk2n2	NM_028420	1.37	4.22E-02	calcium/calmodulin-dependent protein kinase II inhibitor 2
10599976	Mtm1	NM_019926	1.37	3.84E-02	X-linked myotubular myopathy gene 1
10435948	Ccdc80	NM_026439	1.37	1.03E-02	coiled-coil domain containing 80
10455826	Megf10	NM_001001979	1.37	4.66E-02	multiple EGF-like-domains 10
10402473	Clmn	NM_053155	1.37	9.70E-03	calmin
10363669	Dnajc12	NM_013888	1.37	4.53E-02	DnaJ (Hsp40) homolog, subfamily C, member 12
10382912	Sept9	NM_001113486	1.36	1.53E-02	septin 9
10441680	Pde10a	NM_011866	1.36	2.36E-02	phosphodiesterase 10A
10463462	Sfxn3	NM_053197	1.36	2.07E-02	sideroflexin 3
10515399	Plk3	NM_013807	1.36	1.28E-02	polo-like kinase 3 (Drosophila)
10607712	Grpr	NM_008177	1.36	6.76E-03	gastrin releasing peptide receptor
10427471	Osmr	NM_011019	1.36	4.22E-02	oncostatin M receptor
10494351	Mtmr11	NM_181409	1.36	1.43E-02	myotubularin related protein 11
10459620	Rab27b	NM_001082553	1.36	3.45E-02	RAB27b, member RAS oncogene family
10558948	Cd151	NM_009842	1.35	6.55E-03	CD151 antigen
10519069	Plch2	NM_175556	1.35	1.54E-02	phospholipase C, eta 2
10430201	Myh9	NM_022410	1.35	3.12E-02	myosin, heavy polypeptide 9, non-muscle
10437970	2310008H04Rik	BC089026	1.35	2.79E-02	RIKEN cDNA 2310008H04 gene
10598251	Dgkk	NM_177914	1.35	1.47E-02	diacylglycerol kinase kappa
10572456	Jund	NM_010592	1.35	1.43E-02	Jun proto-oncogene related gene d
10467425	Sorbs1	NM_178362	1.34	1.56E-02	sorbin and SH3 domain containing 1
10442224	BC049807	BC076634	1.34	2.76E-02	cDNA sequence BC049807
10428707	Has2	NM_008216	1.34	4.63E-02	hyaluronan synthase 2
10495659	Cnn3	NM_028044	1.34	2.76E-02	calponin 3, acidic
10606864	Tceal5	NM_177919	1.34	3.66E-02	transcription elongation factor A (SII)-like 5
10494306	Mcl1	NM_008562	1.34	4.22E-02	myeloid cell leukemia sequence 1
10547719	Clstn3	NM_153508	1.33	4.23E-02	calsyntenin 3
10367634	Akap12	NM_031185	1.33	3.00E-02	A kinase (PRKA) anchor protein (gravin) 12
10430997	Pacsin2	NM_011862	1.33	2.36E-02	protein kinase C and casein kinase substrate in neurons 2
10448803	Hn1l	NM_198937	1.33	3.93E-02	hematological and neurological expressed 1-like
10369290	Ddit4	NM_029083	1.33	3.53E-02	DNA-damage-inducible transcript 4
10549879	Usp29	NM_021323	1.33	4.33E-02	ubiquitin specific peptidase 29
10475990	Slc20a1	NM_015747	1.33	2.62E-02	solute carrier family 20, member 1
10406852	Cnn3	NM_028044	1.33	1.57E-02	calponin 3, acidic
10411332	Hmgcr	NM_008255	1.32	1.39E-02	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
10556553	Insc	NM_173767	1.32	3.74E-02	inscuteable homolog (Drosophila)
10400546	Fbxo33	NM_001033156	1.32	4.58E-02	F-box protein 33
10370754	Dos	NM_015761	1.32	5.88E-03	downstream of Stk11
10355474	March4	NM_001045533	1.32	3.93E-02	membrane-associated ring finger (C3HC4) 4
10474048	Syt13	NM_030725	1.32	2.50E-02	synaptotagmin XIII
10480676	Grin1	NM_008169	1.31	1.54E-02	glutamate receptor, ionotropic, NMDA1 (zeta 1)
10577757	Adam9	NM_007404	1.31	4.22E-02	a disintegrin and metallopeptidase domain 9 (meltrin gamma)
10495549	Dbt	NM_010022	1.31	4.46E-02	dihydrolipoamide branched chain transacylase E2
10530910	Uba6	NM_172712	1.31	4.34E-02	ubiquitin-like modifier activating enzyme 6
10347218	NA	ENSMUST00000101806	1.30	3.26E-02	NA
10410766	Nr2f1	NM_010151	1.30	1.68E-02	nuclear receptor subfamily 2, group F, member 1
10464425	Grk5	NM_018869	1.30	4.96E-02	G protein-coupled receptor kinase 5
10403658	Gng4	NM_010317	1.30	3.82E-02	guanine nucleotide binding protein (G protein), gamma 4
10471247	Aif1l	NM_145144	1.30	1.78E-02	allograft inflammatory factor 1-like
10352514	Eprs	NM_029735	1.30	1.56E-02	glutamyl-prolyl-tRNA synthetase
10365260	Txnrd1	NM_001042523	1.29	2.17E-02	thioredoxin reductase 1
10467739	Avpi1	NM_027106	1.29	4.07E-02	arginine vasopressin-induced 1
10517425	Lypla2	NM_011942	1.29	3.12E-02	lysophospholipase 2
10483809	Nfe2l2	NM_010902	1.29	3.13E-02	nuclear factor, erythroid derived 2, like 2
10407072	Elovl7	NM_029001	1.29	1.79E-02	ELOVL family member 7, elongation of long chain fatty acids (yeast)
10364712	Cirbp	NM_007705	1.29	3.58E-02	cold inducible RNA binding protein
10552752	Akt1s1	NM_026270	1.28	4.15E-02	AKT1 substrate 1 (proline-rich)
10536483	Tes	NM_207176	1.28	4.15E-02	testis derived transcript
10458398	Hars	NM_008214	1.28	3.97E-02	histidyl-tRNA synthetase
10601850	Bex4	NM_212457	1.28	3.12E-02	brain expressed gene 4
10492516	Iqcj	NM_177585	1.28	1.42E-02	IQ motif containing J
10388409	Rpa1	NM_026653	1.28	2.12E-02	replication protein A1
10551319	Adck4	NM_133770	1.28	3.50E-02	aarF domain containing kinase 4
10389526	Cltc	NM_001003908	1.27	4.25E-02	clathrin, heavy polypeptide (Hc)
10416371	Lpar6	NM_175116	1.27	3.82E-02	lysophosphatidic acid receptor 6
10495873	Ptma	NM_008972	1.27	3.91E-02	prothymosin alpha
10603373	Pqbp1	NM_019478	1.27	3.84E-02	polyglutamine binding protein 1
10603316	2010204K13Rik	NR_027924	1.27	2.95E-02	RIKEN cDNA 2010204K13 gene
10568568	Oat	NM_016978	1.26	3.77E-02	ornithine aminotransferase
10364696	Atp5d	NM_025313	1.26	3.45E-02	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
10373515	Suox	NM_173733	1.26	3.74E-02	sulfite oxidase
10369388	Unc5b	NM_029770	1.26	4.15E-02	unc-5 homolog B (C. elegans)
10416004	Zfp395	NM_199029	1.26	3.27E-02	zinc finger protein 395
10476355	Chgb	NM_007694	1.26	3.13E-02	chromogranin B
10466886	NA		1.26	3.20E-02	NA
10367697	Ppp1r14c	NM_133485	1.26	3.02E-02	protein phosphatase 1, regulatory (inhibitor) subunit 14c
10346562	Cflar	NM_207653	1.26	4.22E-02	CASP8 and FADD-like apoptosis regulator
10513437	Mup2	NM_008647	1.26	2.07E-02	major urinary protein 2
10599174	Il13ra1	NM_133990	1.25	3.13E-02	interleukin 13 receptor, alpha 1
10474977	1500003O03Rik	NM_019769	1.25	2.68E-02	RIKEN cDNA 1500003O03 gene
10455199	Rell2	NM_153793	1.25	3.44E-02	RELT-like 2
10589350	Shisa5	NM_025858	1.25	2.49E-02	shisa homolog 5 (Xenopus laevis)
10463945	Dusp5	NM_001085390	1.25	1.68E-02	dual specificity phosphatase 5
10502284	Tet2	NM_001040400	1.25	4.99E-02	tet oncogene family member 2
10385903	Pdlim4	NM_019417	1.25	3.50E-02	PDZ and LIM domain 4
10598198	Mia3	NM_177389	1.25	4.20E-02	melanoma inhibitory activity 3
10545588	Hk2	NM_013820	1.25	4.96E-02	hexokinase 2
10510462	Trmt112	NM_026306	1.25	3.82E-02	tRNA methyltransferase 11-2 homolog (S. cerevisiae)
10584271	Tmem218	NM_025464	1.24	2.36E-02	transmembrane protein 218
10540085	Fbln2	NM_007992	1.24	4.47E-02	fibulin 2
10413419	Arhgef3	NM_027871	1.24	2.69E-02	Rho guanine nucleotide exchange factor (GEF) 3
10600144	F8a	NM_007978	1.24	3.82E-02	factor 8-associated gene A
10508182	Psmb2	NM_011970	1.24	4.53E-02	proteasome (prosome, macropain) subunit, beta type 2
10363415	Spock2	NM_052994	1.24	3.18E-02	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2
10594066	Loxl1	NM_010729	1.24	4.32E-02	lysyl oxidase-like 1
10521709	Lap3	NM_024434	1.24	4.22E-02	leucine aminopeptidase 3
10486396	Ehd4	NM_133838	1.24	4.18E-02	EH-domain containing 4
10554945	Prcp	NM_028243	1.24	4.65E-02	prolylcarboxypeptidase (angiotensinase C)
10528474	Rpl22l1	NM_026517	1.24	3.73E-02	ribosomal protein L22 like 1
10601555	Tgif2lx1	NM_153109	1.24	2.36E-02	TGFB-induced factor homeobox 2-like, X-linked 1
10371877	Slc25a3	NM_133668	1.24	3.38E-02	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3
10374777	Efemp1	NM_146015	1.23	1.68E-02	epidermal growth factor-containing fibulin-like extracellular matrix protein 1
10426157	Trabd	NM_026485	1.23	3.84E-02	TraB domain containing
10367154	Gls2	NM_001033264	1.23	4.23E-02	glutaminase 2 (liver, mitochondrial)
10518428	Clcn6	NM_011929	1.23	3.73E-02	chloride channel 6
10461237	Bscl2	NM_008144	1.23	3.44E-02	Bernardinelli-Seip congenital lipodystrophy 2 homolog (human)
10360648	Psen2	NM_011183	1.23	4.22E-02	presenilin 2
10447510	Amd1	NM_009665	1.23	3.97E-02	S-adenosylmethionine decarboxylase 1
10389047	Accn1	NM_001034013	1.23	3.91E-02	amiloride-sensitive cation channel 1, neuronal (degenerin)
10564888	Unc45a	NM_133952	1.23	3.77E-02	unc-45 homolog A (C. elegans)
10390560	Stac2	NM_146028	1.22	3.15E-02	SH3 and cysteine rich domain 2
10568109	Asphd1	NM_001039645	1.22	3.13E-02	aspartate beta-hydroxylase domain containing 1
10495763	Gclm	NM_008129	1.22	4.15E-02	glutamate-cysteine ligase, modifier subunit
10404407	Foxc1	NM_008592	1.22	3.18E-02	forkhead box C1
10583163	Trpc6	NM_013838	1.22	4.15E-02	transient receptor potential cation channel, subfamily C, member 6
10547807	Eno2	NM_013509	1.22	3.93E-02	enolase 2, gamma neuronal
10506360	Sgip1	NM_144906	1.22	4.49E-02	SH3-domain GRB2-like (endophilin) interacting protein 1
10387659	Nlgn2	NM_198862	1.21	2.50E-02	neuroligin 2
10503198	Chd7	NM_001081417	1.21	3.18E-02	chromodomain helicase DNA binding protein 7
10579165	Ncan	NM_007789	1.21	4.22E-02	neurocan
10596403	Gm7455	AM748257	1.21	4.23E-02	predicted gene 7455
10583834	9530077C05Rik	BC054761	1.21	4.53E-02	RIKEN cDNA 9530077C05 gene
10355967	Ap1s3	NM_183027	1.21	3.25E-02	adaptor-related protein complex AP-1, sigma 3
10547100	Plxnd1	NM_026376	1.21	3.91E-02	plexin D1
10561842	Capns1	NM_009795	1.21	4.22E-02	calpain, small subunit 1
10502240	Npnt	NM_033525	1.20	4.68E-02	nephronectin
10430265	Eif3d	NM_018749	1.20	4.07E-02	eukaryotic translation initiation factor 3, subunit D
10453867	Rbbp8	NM_001081223	1.20	3.74E-02	retinoblastoma binding protein 8
10565067	Nmb	NM_026523	1.20	4.92E-02	neuromedin B
10405619	5133401N09Rik	NM_198004	1.20	4.22E-02	RIKEN cDNA 5133401N09 gene
10488862	Ggt7	NM_144786	1.20	4.22E-02	gamma-glutamyltransferase 7
10409222	Shc3	NM_009167	1.20	4.80E-02	src homology 2 domain-containing transforming protein C3
10453604	Bambi	NM_026505	1.19	3.18E-02	BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis)
10381115	Eif1	NM_011508	1.19	4.22E-02	eukaryotic translation initiation factor 1
10585889	Celf6	NM_175235	1.19	3.80E-02	CUGBP, Elav-like family member 6
10457606	Kctd1	NM_134112	1.19	3.42E-02	potassium channel tetramerisation domain containing 1
10387932	Pfn1	NM_011072	1.19	3.18E-02	profilin 1
10346780	Eif4a1	NM_144958	1.18	3.74E-02	eukaryotic translation initiation factor 4A1
10487139	Shc4	NM_199022	1.18	4.15E-02	SHC (Src homology 2 domain containing) family, member 4
10428328	Slc25a32	NM_172402	1.18	4.80E-02	solute carrier family 25, member 32
10382284	Prkar1a	NM_021880	1.18	3.73E-02	protein kinase, cAMP dependent regulatory, type I, alpha
10412562	Flnb	NM_134080	1.18	4.53E-02	filamin, beta
10378668	Pitpna	NM_008850	1.18	3.91E-02	phosphatidylinositol transfer protein, alpha
10561306	Pld3	NM_011116	1.18	3.91E-02	phospholipase D family, member 3
10523772	Lrrc8d	NM_178701	1.17	4.20E-02	leucine rich repeat containing 8D
10607486	Ptchd1	NM_001093750	1.17	4.34E-02	patched domain containing 1
10545471	Kcmf1	NM_019715	1.16	4.55E-02	potassium channel modulatory factor 1
10424062	A930017M01Rik	AK080719	1.16	4.15E-02	Smg-5 homolog, nonsense mediated mRNA decay factor pseudogene
10460603	Efemp2	NM_021474	1.14	4.99E-02	epidermal growth factor-containing fibulin-like extracellular matrix protein 2
10409236	NA	ENSMUST00000053322	-1.15	4.92E-02	NA
